time;SVarC_injector_UPu;SVarC_injector_BPu;SVarC_injector_GPu;SVarC_injector_PInjPu;SVarC_injector_QInjPu;SVarC_control_regulation_IPu;SVarC_control_regulation_IMaxPu;SVarC_control_modeHandling_mode;SVarC_control_modeHandling_URefPu;
1.03676;0.9574;0.6652;0.0000;0.0000;1.5241;0.6368;1.0000;3.0000;1.0000;
1.04086;0.9602;0.7015;0.0000;0.0000;1.6167;0.6735;1.0000;3.0000;1.0000;
1.04496;0.9627;0.7346;0.0000;0.0000;1.7021;0.7072;1.0000;3.0000;1.0000;
1.04905;0.9651;0.7649;0.0000;0.0000;1.7808;0.7381;1.0000;3.0000;1.0000;
1.05315;0.9672;0.7924;0.0000;0.0000;1.8532;0.7664;1.0000;3.0000;1.0000;
1.05641;0.9688;0.8126;0.0000;0.0000;1.9067;0.7872;1.0000;3.0000;1.0000;
1.05682;0.9690;0.8151;0.0000;0.0000;1.9132;0.7898;1.0000;3.0000;1.0000;
1.05682;0.9690;0.8151;0.0000;0.0000;1.9132;0.7898;1.0000;3.0000;1.0000;
1.05724;0.9692;0.8176;0.0000;0.0000;1.9198;0.7924;1.0000;3.0000;1.0000;
1.06134;0.9710;0.8405;0.0000;0.0000;1.9809;0.8161;1.0000;3.0000;1.0000;
1.06544;0.9726;0.8614;0.0000;0.0000;2.0370;0.8378;1.0000;3.0000;1.0000;
1.06953;0.9741;0.8804;0.0000;0.0000;2.0884;0.8576;1.0000;3.0000;1.0000;
1.07772;0.9768;0.9136;0.0000;0.0000;2.1792;0.8924;1.0000;3.0000;1.0000;
1.0851;0.9788;0.9387;0.0000;0.0000;2.2480;0.9187;1.0000;3.0000;1.0000;
1.09247;0.9804;0.9598;0.0000;0.0000;2.3066;0.9411;1.0000;3.0000;1.0000;
1.09984;0.9819;0.9777;0.0000;0.0000;2.3563;0.9599;1.0000;3.0000;1.0000;
1.10722;0.9831;0.9927;0.0000;0.0000;2.3984;0.9759;1.0000;3.0000;1.0000;
1.11459;0.9841;1.0053;0.0000;0.0000;2.4340;0.9893;1.0000;3.0000;1.0000;
1.12148;0.9849;1.0153;0.0000;0.0000;2.4622;1.0000;1.0000;3.0000;1.0000;
1.12148;0.9849;1.0153;0.0000;0.0000;2.4622;1.0000;1.0000;3.0000;1.0000;
1.12148;0.9849;1.0153;0.0000;0.0000;2.4623;1.0000;1.0000;3.0000;1.0000;
1.12148;0.9849;1.0153;0.0000;0.0000;2.4623;1.0000;1.0000;3.0000;1.0000;
1.12148;0.9849;1.0153;0.0000;0.0000;2.4623;1.0000;1.0000;3.0000;1.0000;
1.12149;0.9849;1.0153;0.0000;0.0000;2.4623;1.0000;1.0000;3.0000;1.0000;
1.12149;0.9849;1.0154;0.0000;0.0000;2.4623;1.0000;1.0000;3.0000;1.0000;
1.12151;0.9849;1.0154;0.0000;0.0000;2.4624;1.0001;1.0000;3.0000;1.0000;
1.12154;0.9849;1.0154;0.0000;0.0000;2.4625;1.0001;1.0000;3.0000;1.0000;
