time;SM_generator_cePu;SM_generator_PePu;SM_generator_cmPu;SM_generator_PmPu;SM_generator_ufPu;SM_generator_efdPu;SM_generator_omegaPu;SM_generator_theta;SM_generator_PGenPu;SM_generator_QGenPu;SM_generator_PGen;SM_generator_QGen;SM_generator_UPu;SM_generator_IStatorPu;SM_generator_IRotorPu;SM_generator_UStatorPu;SM_generator_QStatorPu;SM_generator_thetaInternal;
0.999999;0.902995;0.902995;0.903001;0.903001;0.001059;2.420613;1.000000;1.224054;19.979874;9.679119;1997.987372;967.911876;1.000007;22.200767;2.420681;1.000007;9.679119;0.729566;
0.999999;0.025330;0.025330;0.903001;0.903001;0.002187;5.000000;1.000000;1.224054;-0.000000;28.088460;-0.000000;2808.846043;0.435428;64.507778;3.718765;0.435428;28.088460;0.509451;
1;0.025330;0.025330;0.903000;0.903000;0.002187;5.000000;1.000000;1.224054;0.000000;28.088053;0.000000;2808.805305;0.435424;64.507310;3.718796;0.435424;28.088053;0.509445;
1;0.025330;0.025330;0.903000;0.903000;0.002187;5.000000;1.000000;1.224054;-0.000000;28.087646;-0.000000;2808.764569;0.435421;64.506842;3.718827;0.435421;28.087646;0.509439;
1;0.025329;0.025329;0.902998;0.902999;0.002187;5.000000;1.000000;1.224054;0.000000;28.086831;0.000000;2808.683102;0.435415;64.505907;3.718889;0.435415;28.086831;0.509427;
1.00001;0.025327;0.025327;0.902995;0.902996;0.002187;5.000000;1.000001;1.224054;0.000000;28.085202;0.000000;2808.520190;0.435402;64.504036;3.719012;0.435402;28.085202;0.509402;
1.00002;0.025324;0.025324;0.902989;0.902991;0.002187;5.000000;1.000002;1.224054;0.000000;28.081945;0.000000;2808.194453;0.435377;64.500295;3.719260;0.435377;28.081945;0.509353;
1.00003;0.025318;0.025319;0.902977;0.902981;0.002187;5.000000;1.000004;1.224054;-0.000000;28.075433;-0.000000;2807.543331;0.435327;64.492817;3.719754;0.435327;28.075433;0.509256;
1.00006;0.025307;0.025307;0.902954;0.902961;0.002187;5.000000;1.000008;1.224054;0.000000;28.062425;0.000000;2806.242499;0.435226;64.477874;3.720741;0.435226;28.062425;0.509061;
1.00013;0.025283;0.025283;0.902906;0.902921;0.002187;5.000000;1.000016;1.224054;0.000000;28.036465;0.000000;2803.646469;0.435024;64.448044;3.722713;0.435024;28.036465;0.508671;
1.00026;0.025236;0.025237;0.902812;0.902841;0.002187;5.000000;1.000032;1.224055;0.000000;27.984769;0.000000;2798.476857;0.434623;64.388599;3.726640;0.434623;27.984769;0.507892;
1.00051;0.025143;0.025144;0.902622;0.902680;0.002187;5.000000;1.000064;1.224059;0.000000;27.882267;0.000000;2788.226717;0.433826;64.270571;3.734436;0.433826;27.882267;0.506337;
